Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
107,107,Sebastian Schönberger,support,B&B Hotels - KTM,4.2,0.00,0,52.00,1,32.00,2,176.00,21,210,152,260.00
109,109,Guy Niv,support,Israel - Premier Tech,4,0.00,0,48.00,2,0.00,0,128.00,21,66,35,256.00
110,110,Jan Tratnik,tempo,Bahrain Victorious,6.2,0.00,0,84.00,2,0.00,0,171.00,21,598,418,255.00
111,111,Simone Velasco,support,Astana Qazaqstan Team,4.8,0.00,0,0.00,0,0.00,0,252.00,21,54,27,252.00
112,112,Jack Bauer,support,Team BikeExchange - Jayco,4.7,0.00,0,60.00,1,0.00,0,104.00,21,301,163,244.00
112,112,Kristian Sbaragli,support,Alpecin - Fenix,4.3,0.00,0,0.00,0,0.00,0,164.00,21,122,55,244.00
114,114,Benoît Cosnefroy,support,AG2R Citroën Team,6.8,0.00,0,64.00,3,0.00,0,124.00,21,2432,1876,228.00
114,114,Florian Vermeersch,youth,LOTTO Soudal,4.9,0.00,0,28.00,2,0.00,0,200.00,21,1277,991,228.00
114,114,Marco Haller,support,Bora - Hansgrohe,4.6,0.00,0,56.00,2,0.00,0,172.00,21,538,325,228.00
117,117,Alexis Gougeard,tempo,B&B Hotels - KTM,4.5,0.00,0,105.00,4,27.00,2,93.00,21,3918,2587,225.00
118,118,Toms Skujins,support,Trek - Segafredo,5,0.00,0,0.00,0,0.00,0,184.00,21,662,499,224.00
119,119,Kobe Goossens,climber,Intermarche - Wanty - Gobert Materiaux,4.5,0.00,0,75.00,2,24.00,2,123.00,21,7940,6328,222.00
120,120,Marc Hirschi,youth,UAE Team Emirates,7.4,0.00,0,4.00,1,0.00,0,96.00,21,3533,2559,220.00
121,121,Andrea Pasqualon,sprinter,Intermarche - Wanty - Gobert Materiaux,6.8,0.00,0,6.00,1,0.00,0,210.00,21,1348,1050,216.00
121,121,Jérémy Lecroq,sprinter,B&B Hotels - KTM,6.5,0.00,0,16.00,1,0.00,0,200.00,21,6020,4700,216.00
123,123,Nelson Oliveira,tempo,Movistar Team,5,0.00,0,54.00,2,36.00,1,123.00,21,1342,887,213.00
124,124,Brent van Moer,youth,LOTTO Soudal,5,0.00,0,92.00,3,0.00,0,120.00,21,2131,1684,212.00
