Rank,Previous Rank,Player,Position,Team,Price,Shirt points,Shirt count,Sprint points,Sprint count,Climb points,Climb count,Placement points,Placement count,Bought,Sold,Points
-,-,TotalEnergies,manager,TotalEnergies,5.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,John Degenkolb,support,Team DSM,5.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Michael Gogl,climber,Alpecin-Deceuninck,5.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Simon Geschke,climber,Cofidis,5.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Florian Sénéchal,support,Soudal Quick-Step,5.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Pascal Eenkhoorn,support,Lotto Dstny,5.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Corbin Strong,youth,Israel-Premier Tech,5.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Søren Kragh Andersen,tempo,Alpecin-Deceuninck,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Michael Mørkøv,support,Soudal Quick-Step,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Tony Gallopin,support,Trek - Segafredo,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Felix Großschartner,support,UAE Team Emirates,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Luke Durbridge,tempo,Team Jayco Alula,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jasper De Buyst,support,Lotto Dstny,5.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Edvald Boasson Hagen,support,TotalEnergies,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Uno-X Pro Cycling Team,manager,Uno-X Pro Cycling Team,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Tobias Halland Johannessen,youth,Uno-X Pro Cycling Team,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Marco Haller,support,BORA-Hansgrohe,5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Dylan Van Baarle,support,Jumbo-Visma,4.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Georg Zimmermann,support,Intermarché - Circus - Wanty,4.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Nils Eekhoff,youth,Team DSM,4.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alexis Vuillermoz,support,TotalEnergies,4.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Quinten Hermans,support,Alpecin-Deceuninck,4.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alex Edmondson,tempo,Team DSM,4.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Dion Smith,support,Intermarché - Circus - Wanty,4.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Samuele Battistella,youth,Astana Qazaqstan Team,4.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Frederik Frison,support,Lotto Dstny,4.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Kevin Vermaerke,youth,Team DSM,4.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Houle Hugo,support,Israel-Premier Tech,4.7,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Christopher Juul-Jensen,support,Team Jayco Alula,4.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Lawson Craddock,tempo,Team Jayco Alula,4.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alex Kirsch,support,Trek - Segafredo,4.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Søren Wærenskjold,youth,Uno-X Pro Cycling Team,4.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Lars van de Berg,youth,Groupama - FDJ,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Nans Peters,support,AG2R Citroën Team,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Alexis Renard,youth,Cofidis,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Yevgeniy Fedorov,youth,Astana Qazaqstan Team,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Mikkel Frølich Honore,support,EF Education-EasyPost,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Matthew Dinham,youth,Team DSM,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Chris Harper,climber,Team Jayco Alula,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Anthon Charmig,youth,Uno-X Pro Cycling Team,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Boivin Guillaume,support,Israel-Premier Tech,4.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jacopo Guarnieri,support,Lotto Dstny,4.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Rasmus Tiller,support,Uno-X Pro Cycling Team,4.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Chris Hamilton,support,Team DSM,4.4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jonas Rickaert,support,Alpecin-Deceuninck,4.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Olivier Le Gac,support,Groupama - FDJ,4.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Elmar Reinders,support,Team Jayco Alula,4.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Neilands Krists,support,Israel-Premier Tech,4.3,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Piet Allegaert,support,Cofidis,4.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Kamil Gradek,support,Bahrain - Victorious,4.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Élie Gesbert,support,Team Arkea Samsic,4.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Daniel Oss,support,TotalEnergies,4.2,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Andrey Amador,support,EF Education-EasyPost,4.1,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Domen Novak,support,UAE Team Emirates,4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Adrien Petit,support,Intermarché - Circus - Wanty,4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jonas Abrahamsen,support,Uno-X Pro Cycling Team,4,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Vegard Stake Laengen,support,UAE Team Emirates,3.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jonas Gregaard,support,Uno-X Pro Cycling Team,3.9,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Jorge Arcas,support,Movistar Team,3.8,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Anthony Perez,support,Cofidis,3.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Lilian Calmejane,support,Intermarché - Circus - Wanty,3.6,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Pierre-Luc Perichon,support,Cofidis,3.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
-,-,Dmitriy Gruzdev,support,Astana Qazaqstan Team,3.5,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00
